X,Y,Z,Atom,Element
1.9820161604915478,2.725148637591518,-3.7626621336761237,1,8
3.9485510877777314,1.687259037980511,2.2059867650412013,2,6
1.805081055151799,-3.8422230439254195,3.055038009973346,3,6
3.8628364578596,-1.2745285816371006,3.682494226800419,4,6
0.41769662789382034,5.199297212264022,3.704938852680869,5,6
2.691736402664124,-6.283307289715461,-0.930452715820901,6,6
3.8718348337567874,0.6529991313158064,-1.8356215619634233,7,6
3.2923240015629562,-3.8292236836454543,-3.529345096909489,8,6
-0.14975744121244053,8.679109585790044,0.9150696418954681,9,6
-4.127669477482315,4.241897633821523,2.7570703752652084,10,6
-0.5728166800052702,-9.854364951429654,-3.2935562347925877,11,6
-0.5543625684049066,-3.6052269751221506,3.1942778313230087,12,1
2.3509523178647056,-0.345536018862761,5.431812203703036,13,1
5.183020031545356,-2.482355221587292,1.8884970412583584,14,1
-0.7192247204643063,4.672860099098607,4.486682375535881,15,1
1.2815382521080139,-4.513755377096288,-6.363101337340831,16,1
1.4846819266324642,8.547638245289189,-0.6055141870072236,17,1
-0.932782250459743,8.345226044333502,-1.7161629297344412,18,1
-2.8485855022833526,10.198302403064828,-0.9375128223410364,19,1
-4.453345562013332,1.587792776534887,2.3937062650506324,20,1
-4.3082569795676715,3.908776650523801,-0.08312193173745584,21,1
-6.037506513918502,6.137093163080957,1.2102612508688897,22,1
-3.3908400728702066,-9.38938364096956,-3.18008716316678,23,1
-1.9468643578824212,-10.974332144433648,-2.522532953880932,24,1
-2.1302570287444373,-10.189163692264394,-6.166163771025092,25,1
